"COUNTY","CFIPS","YEAR","AGE","GENDER","Labor Force","Universe","Participation Rate",
"Baca County","9","2015","45 to 54","","358.79","472.19","75.98",
"Baca County","9","2015","55 to 64","","367.62","567.14","64.82",
"Baca County","9","2015","65 and over","","155.93","851.98","18.30",
"Baca County","9","2016","16 to 19","","63.55","168.05","37.82",
"Baca County","9","2016","20 to 24","","160.22","222.67","71.95",
"Baca County","9","2016","25 to 34","","300","389.86","76.95",
"Baca County","9","2016","35 to 44","","351.23","414.34","84.77",
"Baca County","9","2016","45 to 54","","351.49","461.67","76.13",
"Baca County","9","2016","55 to 64","","363.02","557.68","65.09",
"Baca County","9","2016","65 and over","","160.82","856.37","18.78",
"Baca County","9","2017","16 to 19","","60.86","166.44","36.57",
"Baca County","9","2017","20 to 24","","153.69","215.51","71.31",
"Baca County","9","2017","25 to 34","","303.16","394.88","76.77",
"Baca County","9","2017","35 to 44","","374.37","441.76","84.75",
"Baca County","9","2017","45 to 54","","338.79","445.17","76.10",
"Baca County","9","2017","55 to 64","","368.75","563.48","65.44",
"Baca County","9","2017","65 and over","","162.52","851.46","19.09",
"Baca County","9","2018","16 to 19","","57.62","161.79","35.61",
"Baca County","9","2018","20 to 24","","149.18","211.76","70.45",
"Baca County","9","2018","25 to 34","","304.9","397.66","76.67",
"Baca County","9","2018","35 to 44","","387.86","457.68","84.74",
"Baca County","9","2018","45 to 54","","328.72","432.89","75.94",
"Baca County","9","2018","55 to 64","","366.24","556.85","65.77",
"Baca County","9","2018","65 and over","","166.98","860.56","19.40",
"Bent County","11","2010","16 to 19","","93.29","196","47.60",
"Bent County","11","2010","20 to 24","","194.82","245","79.52",
"Bent County","11","2010","25 to 34","","423.3","514","82.35",
"Bent County","11","2010","35 to 44","","506.43","559","90.60",
"Bent County","11","2010","45 to 54","","706.08","862","81.91",
"Bent County","11","2010","55 to 64","","526.16","784","67.11",
"Bent County","11","2010","65 and over","","131.85","796.14","16.56",
"Bent County","11","2011","16 to 19","","101.38","219.49","46.19",
"Bent County","11","2011","20 to 24","","139.37","177.9","78.34",
"Bent County","11","2011","25 to 34","","398.78","485.72","82.10",
"Bent County","11","2011","35 to 44","","451.36","499.54","90.36",
"Bent County","11","2011","45 to 54","","673.28","821.63","81.94",
"Bent County","11","2011","55 to 64","","541.43","803.44","67.39",
"Bent County","11","2011","65 and over","","137.59","803.17","17.13",
"Bent County","11","2012","16 to 19","","102.28","228.19","44.82",
"Bent County","11","2012","20 to 24","","130.46","169.54","76.95",
