"CFIPS","YEAR","COUNTY","Total Population","Births","Deaths","Net Migration","Natural Increase","Census Building Permits","Group Quarters Population","Household Population","Households","Household Size","Total Housing Units","Vacancy Rate","Vacant Housing Units",
"119","2011","Teller County","23294","222","134","-235","88","30","132","23,162","9,781","2.37","12,668","22.79","2,887",
"121","2011","Washington County","4789","40","53","-13","-13","5","184","4,605","1,969","2.34","2,441","19.34","472",
"123","2011","Weld County","258551","3749","1434","2,029","2,315","778","5,872","252,679","91,412","2.76","97,263","6.02","5,851",
"125","2011","Yuma County","10118","155","118","49","37","5","196","9,922","3,982","2.49","4,471","10.94","489",
"1","2012","Adams County","460064","6923","2750","4,156","4,173","714","4,014","456,050","160,214","2.85","164,378","2.53","4,164",
"3","2012","Alamosa County","15687","208","118","-82","90","53","740","14,947","6,094","2.45","6,619","7.93","525",
"5","2012","Arapahoe County","595776","7754","3380","5,926","4,374","334","4,764","591,012","233,477","2.53","239,524","2.52","6,047",
"7","2012","Archuleta County","12109","116","72","62","44","36","129","11,980","5,278","2.27","8,870","40.5","3,592",
"9","2012","Baca County","3746","53","72","-34","-19","2","82","3,664","1,666","2.2","2,252","26.02","586",
"11","2012","Bent County","5778","55","60","-93","-5","1","1,686","4,092","1,747","2.34","2,245","22.18","498",
"13","2012","Boulder County","305016","2953","1570","3,463","1,383","713","10,002","295,014","123,243","2.39","128,436","4.04","5,192",
"14","2012","Broomfield County","58715","684","330","1,150","354","229","282","58,433","22,502","2.6","23,103","2.6","601",
"15","2012","Chaffee County","18123","152","157","119","-5","69","1,489","16,634","7,720","2.15","10,173","24.11","2,453",
"17","2012","Cheyenne County","1875","38","27","0","11","0","42","1,833","804","2.28","976","17.62","172",
"19","2012","Clear Creek County","9103","63","46","-1","17","16","107","8,996","4,205","2.14","5,716","26.43","1,511",
"21","2012","Conejos County","8246","126","82","-80","44","13","36","8,210","3,114","2.64","4,321","27.93","1,207",
"23","2012","Costilla County","3601","29","41","-34","-12","22","0","3,601","1,584","2.27","2,667","40.61","1,083",
"25","2012","Crowley County","5376","40","47","-87","-7","2","2,291","3,085","1,282","2.41","1,565","18.08","283",
"27","2012","Custer County","4241","26","36","24","-10","66","150","4,091","1,918","2.13","4,099","53.21","2,181",
"29","2012","Delta County","30461","337","315","26","22","50","723","29,738","12,493","2.38","14,555","14.17","2,062",
"31","2012","Denver County","634471","9181","4173","8,785","5,008","2,685","16,214","618,257","278,456","2.22","289,832","3.93","11,376",
"33","2012","Dolores County","1990","24","17","-42","7","0","0","1,990","866","2.3","1,468","41.01","602",
"35","2012","Douglas County","298638","3477","1034","3,714","2,443","1,990","775","297,863","106,700","2.79","108,865","1.99","2,165",
"67","2011","La Plata County","51866","543","246","128","297","222","1,715","50,151","21,323","2.35","26,132","18.4","4,809",
"65","2011","Lake County","7382","104","41","29","63","19","141","7,241","2,978","2.43","4,290","18.4","1,312",
"39","2011","Elbert County","23213","174","108","40","66","33","73","23,140","8,425","2.75","8,981","6.19","556",
"37","2012","Eagle County","51849","695","100","-395","595","51","70","51,779","19,098","2.71","31,433","39.24","12,335",
"43","2012","Fremont County","47075","388","498","166","-110","46","8,666","38,409","16,707","2.3","19,372","13.76","2,665",
"45","2012","Garfield County","56770","788","252","213","536","33","884","55,886","20,498","2.73","23,395","12.38","2,897",
"47","2012","Gilpin County","5457","39","27","-3","12","16","49","5,408","2,468","2.19","3,584","31.14","1,116",
"49","2012","Grand County","14157","111","45","-457","66","59","222","13,935","6,186","2.25","15,612","60.38","9,426",
"51","2012","Gunnison County","15384","164","74","-78","90","50","824","14,560","6,555","2.22","11,554","43.27","4,999",
"53","2012","Hinsdale County","795","6","3","-32","3","6","56","739","340","2.17","1,404","75.78","1,064",
"55","2012","Huerfano County","6563","59","106","106","-47","30","165","6,398","3,067","2.09","5,144","40.38","2,077",
"57","2012","Jackson County","1338","9","15","-28","-6","2","2","1,336","623","2.14","1,297","51.97","674",
"59","2012","Jefferson County","545880","5556","3897","4,493","1,659","976","7,729","538,151","222,732","2.42","231,657","3.85","8,925",
"61","2012","Kiowa County","1425","8","21","-7","-13","1","14","1,411","630","2.24","814","22.6","184",
"63","2012","Kit Carson County","8088","93","69","-51","24","0","808","7,280","3,074","2.37","3,529","12.89","455",
"69","2012","Larimer County","310717","3407","1871","4,032","1,536","1,232","8,447","302,270","124,868","2.42","135,411","7.79","10,543",
"71","2012","Las Animas County","14966","149","163","13","-14","22","783","14,183","6,181","2.29","8,245","25.03","2,064",
"73","2012","Lincoln County","5438","50","56","-9","-6","4","1,027","4,411","1,937","2.28","2,425","20.12","488",
"75","2012","Logan County","22003","223","182","-128","41","13","3,371","18,632","7,972","2.34","9,013","11.55","1,041",
"77","2012","Mesa County","148291","1818","1306","-344","512","338","4,806","143,485","58,339","2.46","63,561","8.22","5,222",
"79","2012","Mineral County","706","6","5","-1","1","9","0","706","352","2.01","1,222","71.19","870",
"81","2012","Moffat County","13135","164","120","-311","44","10","102","13,033","5,201","2.51","6,219","16.37","1,018",
"83","2012","Montezuma County","25441","294","268","-48","26","8","237","25,204","10,503","2.4","12,117","13.32","1,614",
"85","2012","Montrose County","40691","402","451","-154","-49","51","542","40,149","16,249","2.47","18,425","11.81","2,176",
"87","2012","Morgan County","28241","423","271","-345","152","19","564","27,677","10,325","2.68","11,525","10.41","1,200",
"89","2012","Otero County","18660","270","258","-183","12","3","433","18,227","7,659","2.38","8,976","14.67","1,317",
"91","2012","Ouray County","4510","33","20","75","13","19","0","4,510","2,057","2.19","3,122","34.11","1,065",
"93","2012","Park County","16052","109","77","-76","32","73","92","15,960","7,105","2.25","14,137","49.74","7,032",
"95","2012","Phillips County","4384","55","50","6","5","2","60","4,324","1,795","2.41","2,093","14.24","298",
"97","2012","Pitkin County","17222","128","51","20","77","33","72","17,150","8,184","2.1","13,017","37.13","4,833",
"99","2012","Prowers County","12380","188","127","-148","61","8","315","12,065","4,866","2.48","5,951","18.23","1,085",
"101","2012","Pueblo County","160759","1878","1591","137","287","149","4,505","156,254","63,580","2.46","69,986","9.15","6,406",
"103","2012","Rio Blanco County","6774","73","55","-66","18","16","271","6,503","2,677","2.43","3,330","19.61","653",
"105","2012","Rio Grande County","11865","127","127","-40","0","12","198","11,667","4,732","2.47","6,663","28.98","1,931",
"107","2012","Routt County","23257","216","92","-71","124","42","305","22,952","9,796","2.34","16,385","40.21","6,589",
"109","2012","Saguache County","6316","79","29","82","50","25","18","6,298","2,733","2.3","3,914","30.17","1,181",
"111","2012","San Juan County","692","3","2","-2","1","1","0","692","341","2.03","759","55.07","418",
"113","2012","San Miguel County","7570","72","31","52","41","7","9","7,561","3,550","2.13","6,690","46.94","3,140",
"115","2012","Sedgwick County","2370","21","38","20","-17","0","35","2,335","1,090","2.14","1,415","22.97","325",
"117","2012","Summit County","28213","309","57","7","252","154","273","27,940","11,846","2.36","30,142","60.7","18,296",
"119","2012","Teller County","23349","154","144","45","10","46","132","23,217","9,805","2.37","12,721","22.92","2,916",
"121","2012","Washington County","4716","40","50","-63","-10","1","184","4,532","1,938","2.34","2,442","20.64","504",
"123","2012","Weld County","263924","3795","1456","3,059","2,339","803","5,847","258,077","93,336","2.77","98,195","4.95","4,859",
"125","2012","Yuma County","10082","157","112","-81","45","6","196","9,886","3,967","2.49","4,477","11.39","510",
"1","2013","Adams County","469477","7171","2798","5,026","4,373","909","4,028","465,449","163,451","2.85","165,984","1.53","2,533",
"3","2013","Alamosa County","15804","223","146","40","77","73","740","15,064","6,143","2.45","6,694","8.23","551",
"5","2013","Arapahoe County","607145","7821","3555","7,322","4,266","1,318","4,545","602,600","238,005","2.53","241,472","1.44","3,467",
"7","2013","Archuleta County","12211","106","92","88","14","53","129","12,082","5,323","2.27","8,930","40.39","3,607",
"9","2013","Baca County","3679","48","54","-61","-6","0","82","3,597","1,634","2.2","2,252","27.44","618",
"11","2013","Bent County","5708","38","62","-75","-24","1","1,715","3,993","1,704","2.34","2,249","24.23","545",
"13","2013","Boulder County","309971","2963","1666","3,334","1,297","1,411","10,326","299,645","125,161","2.39","129,798","3.57","4,637",
"14","2013","Broomfield County","59975","684","323","899","361","2,010","282","59,693","22,987","2.6","23,563","2.44","576",
"15","2013","Chaffee County","18281","110","179","371","-69","102","1,345","16,936","7,860","2.15","10,243","23.26","2,383",
"17","2013","Cheyenne County","1889","27","18","5","9","4","42","1,847","809","2.28","985","17.87","176",
"19","2013","Clear Creek County","9095","70","59","12","11","6","76","9,019","4,215","2.14","5,711","26.2","1,496",
"21","2013","Conejos County","8229","109","99","-27","10","13","36","8,193","3,108","2.64","4,335","28.3","1,227",
"23","2013","Costilla County","3537","29","43","-50","-14","23","0","3,537","1,556","2.27","2,684","42.03","1,128",
"25","2013","Crowley County","5278","41","39","-51","2","0","2,242","3,036","1,263","2.4","1,565","19.3","302",
"27","2013","Custer County","4287","21","36","61","-15","54","150","4,137","1,939","2.13","4,152","53.3","2,213",
"29","2013","Delta County","30322","320","317","36","3","10","545","29,777","12,516","2.38","14,623","14.41","2,107",
"31","2013","Denver County","648162","9261","4216","8,737","5,045","5,578","16,123","632,039","284,663","2.22","294,752","3.42","10,089",
"33","2013","Dolores County","2021","17","18","32","-1","1","0","2,021","880","2.3","1,469","40.1","589",
"35","2013","Douglas County","306627","3429","1043","5,507","2,386","3,435","871","305,756","109,563","2.79","111,257","1.52","1,694",
"37","2013","Eagle County","52334","602","120","3","482","90","70","52,264","19,271","2.71","31,519","38.86","12,248",
"67","2012","La Plata County","52457","536","332","224","204","154","1,878","50,579","21,504","2.35","26,283","18.18","4,640",
"65","2012","Lake County","7291","72","40","-123","32","17","141","7,150","2,940","2.43","4,308","18.18","1,368",
"39","2012","Elbert County","23371","171","116","103","55","30","73","23,298","8,483","2.75","9,010","5.85","527",
"39","2013","Elbert County","23632","156","133","238","23","44","73","23,559","8,578","2.75","9,053","5.25","475",
"43","2013","Fremont County","46441","335","529","-158","-194","52","8,384","38,057","16,553","2.3","19,439","14.85","2,886",
"45","2013","Garfield County","56947","822","281","-329","541","96","849","56,098","20,580","2.73","23,488","12.38","2,908",
"47","2013","Gilpin County","5571","48","21","87","27","8","49","5,522","2,519","2.19","3,592","29.87","1,073",
"49","2013","Grand County","14271","117","61","58","56","44","222","14,049","6,236","2.25","15,675","60.22","9,439",
"51","2013","Gunnison County","15591","149","65","-55","84","47","1,002","14,589","6,568","2.22","11,601","43.38","5,033",
"53","2013","Hinsdale County","804","10","5","4","5","3","56","748","344","2.17","1,407","75.55","1,063",
"55","2013","Huerfano County","6470","50","88","-55","-38","24","165","6,305","3,022","2.09","5,165","41.49","2,143",
"57","2013","Jackson County","1353","6","10","19","-4","0","2","1,351","630","2.14","1,297","51.43","667",
"59","2013","Jefferson County","551411","5633","4003","3,727","1,630","1,082","7,903","543,508","224,942","2.42","232,709","3.34","7,767",
"61","2013","Kiowa County","1404","15","18","-18","-3","2","14","1,390","620","2.24","816","24.02","196",
"63","2013","Kit Carson County","8269","83","76","-74","7","0","1,056","7,213","3,044","2.37","3,529","13.74","485",
"69","2013","Larimer County","316284","3375","1990","4,006","1,385","1,928","8,623","307,661","127,042","2.42","137,431","7.56","10,389",
"71","2013","Las Animas County","14378","147","185","-553","-38","127","786","13,592","5,925","2.29","8,368","29.19","2,443",
"73","2013","Lincoln County","5414","72","41","-42","31","9","1,014","4,400","1,932","2.28","2,435","20.66","503",
"75","2013","Logan County","21809","252","199","-194","53","10","3,318","18,491","7,911","2.34","9,020","12.29","1,109",
"77","2013","Mesa County","148232","1854","1378","-827","476","553","5,098","143,134","58,233","2.46","64,087","9.13","5,854",
"79","2013","Mineral County","727","4","4","21","0","8","0","727","362","2.01","1,226","70.47","864",
"81","2013","Moffat County","13080","190","91","-154","99","11","102","12,978","5,179","2.51","6,230","16.87","1,051",
"83","2013","Montezuma County","25660","293","252","178","41","9","237","25,423","10,594","2.4","12,126","12.63","1,532",
"85","2013","Montrose County","40674","455","383","-89","72","51","542","40,132","16,242","2.47","18,479","12.11","2,237",
"87","2013","Morgan County","28219","412","229","-205","183","26","564","27,655","10,317","2.68","11,559","10.74","1,242",
"89","2013","Otero County","18505","188","220","-123","-32","4","433","18,072","7,592","2.38","8,976","15.42","1,384",
"91","2013","Ouray County","4544","32","33","35","-1","23","0","4,544","2,071","2.19","3,144","34.13","1,073",
"93","2013","Park County","16188","97","73","112","24","32","92","16,096","7,167","2.25","14,169","49.42","7,002",
"95","2013","Phillips County","4359","41","49","-17","-8","14","60","4,299","1,785","2.41","2,106","15.24","321",
"97","2013","Pitkin County","17390","124","43","87","81","23","72","17,318","8,264","2.1","13,036","36.61","4,772",
"99","2013","Prowers County","12271","167","118","-158","49","4","315","11,956","4,822","2.48","5,956","19.04","1,134",
"101","2013","Pueblo County","161085","1852","1622","131","230","284","4,470","156,615","63,728","2.46","70,247","9.28","6,519",
"103","2013","Rio Blanco County","6722","81","52","-87","29","6","277","6,445","2,652","2.43","3,340","20.6","688",
"105","2013","Rio Grande County","11696","150","129","-190","21","13","198","11,498","4,663","2.47","6,675","30.14","2,012",
"107","2013","Routt County","23550","202","101","160","101","36","337","23,213","9,908","2.34","16,413","39.63","6,505",
"109","2013","Saguache County","6221","73","32","-136","41","32","18","6,203","2,690","2.31","3,941","31.74","1,251",
"111","2013","San Juan County","700","1","5","12","-4","6","0","700","344","2.03","765","55.03","421",
"113","2013","San Miguel County","7629","68","25","16","43","12","9","7,620","3,578","2.13","6,702","46.61","3,124",
"115","2013","Sedgwick County","2343","27","29","-25","-2","2","35","2,308","1,074","2.15","1,416","24.15","342",
"117","2013","Summit County","28660","248","53","252","195","139","273","28,387","12,038","2.36","30,274","60.24","18,236",
"119","2013","Teller County","23271","165","125","-118","40","73","132","23,139","9,772","2.37","12,785","23.57","3,013",
"121","2013","Washington County","4765","35","42","56","-7","1","184","4,581","1,959","2.34","2,443","19.81","484",
"123","2013","Weld County","269981","3815","1566","3,808","2,249","1,166","5,847","264,134","95,485","2.77","99,450","3.99","3,965",
"125","2013","Yuma County","10157","140","92","-10","48","4","233","9,924","3,983","2.49","4,480","11.09","497",
"1","2014","Adams County","479777","7044","2714","5,864","4,330","1,495","4,134","475,643","166,987","2.85","167,154","0.1","167",
"3","2014","Alamosa County","15845","240","126","-198","114","50","865","14,980","6,109","2.45","6,727","9.19","618",
"5","2014","Arapahoe County","617936","7906","3488","6,413","4,418","2,750","4,505","613,431","242,411","2.53","243,577","0.48","1,166",
"7","2014","Archuleta County","12258","109","92","30","17","70","129","12,129","5,343","2.27","9,011","40.71","3,668",
"9","2014","Baca County","3624","37","49","-43","-12","0","82","3,542","1,612","2.2","2,252","28.42","640",
"11","2014","Bent County","5747","32","49","-98","-17","0","1,869","3,878","1,656","2.34","2,249","26.37","593",
"13","2014","Boulder County","313190","2939","1705","1,542","1,234","1,694","10,769","302,421","126,358","2.39","131,196","3.69","4,838",
"14","2014","Broomfield County","61554","699","346","1,226","353","896","282","61,272","23,596","2.6","24,620","4.16","1,024",
"15","2014","Chaffee County","18459","143","168","57","-25","111","1,491","16,968","7,871","2.16","10,310","23.66","2,439",
"17","2014","Cheyenne County","1847","27","15","-54","12","1","42","1,805","791","2.28","986","19.78","195",
"19","2014","Clear Creek County","9210","80","62","102","18","12","71","9,139","4,271","2.14","5,718","25.31","1,447",
"21","2014","Conejos County","8246","122","71","-34","51","15","36","8,210","3,114","2.64","4,350","28.41","1,236",
"23","2014","Costilla County","3560","28","42","37","-14","27","0","3,560","1,565","2.27","2,710","42.25","1,145",
"25","2014","Crowley County","5550","31","45","12","-14","3","2,516","3,034","1,263","2.4","1,568","19.45","305",
"27","2014","Custer County","4368","22","35","94","-13","47","150","4,218","1,977","2.13","4,198","52.91","2,221",
"29","2014","Delta County","29988","292","361","-403","-69","11","683","29,305","12,323","2.38","14,687","16.1","2,364",
"31","2014","Denver County","662855","9327","4231","9,562","5,096","6,117","16,158","646,697","291,265","2.22","300,694","3.14","9,429",
"33","2014","Dolores County","1965","15","29","-42","-14","0","0","1,965","856","2.3","1,469","41.73","613",
"35","2014","Douglas County","314804","3536","1034","5,675","2,502","3,883","871","313,933","112,492","2.79","112,861","0.33","369",
"37","2014","Eagle County","52761","659","122","-110","537","105","70","52,691","19,422","2.71","31,624","38.58","12,202",
"43","2014","Fremont County","46389","380","542","268","-162","53","8,226","38,163","16,598","2.3","19,507","14.91","2,909",
"67","2013","La Plata County","53405","495","315","547","180","172","2,099","51,306","21,812","2.35","26,452","17.3","4,626",
"41","2014","El Paso County","665052","9181","4055","2,851","5,126","5,173","20,440","644,612","252,054","2.56","261,627","3.66","9,573",
"65","2013","Lake County","7317","80","35","-19","45","20","141","7,176","2,950","2.43","4,328","17.54","1,378",
"39","2014","Elbert County","24093","179","121","403","58","78","73","24,020","8,745","2.75","9,130","4.22","385",
"45","2014","Garfield County","57260","773","286","-208","487","76","883","56,377","20,681","2.73","23,563","12.23","2,882",
"47","2014","Gilpin County","5769","40","30","188","10","14","49","5,720","2,610","2.19","3,606","27.62","996",
"49","2014","Grand County","14451","123","68","125","55","53","222","14,229","6,292","2.26","16,421","61.68","10,129",
"51","2014","Gunnison County","15767","136","56","107","80","64","991","14,776","6,650","2.22","11,664","42.99","5,014",
"53","2014","Hinsdale County","774","6","3","-33","3","4","56","718","330","2.18","1,411","76.61","1,081",
"55","2014","Huerfano County","6395","41","98","-18","-57","15","165","6,230","2,986","2.09","5,179","42.34","2,193",
"57","2014","Jackson County","1389","17","12","31","5","5","2","1,387","647","2.14","1,302","50.31","655",
"59","2014","Jefferson County","558610","5917","4106","5,377","1,811","1,707","7,914","550,696","227,944","2.42","234,371","2.74","6,427",
"61","2014","Kiowa County","1394","19","20","-9","-1","4","14","1,380","616","2.24","820","24.88","204",
"63","2014","Kit Carson County","8039","94","78","28","16","24","782","7,257","3,066","2.37","3,553","13.71","487",
"69","2014","Larimer County","324105","3490","1985","6,001","1,505","2,447","8,938","315,167","130,068","2.42","140,013","7.1","9,945",
"71","2014","Las Animas County","14078","119","161","-351","-42","37","879","13,199","5,753","2.29","8,403","31.54","2,650",
"73","2014","Lincoln County","5509","49","47","77","2","8","1,030","4,479","1,965","2.28","2,442","19.53","477",
"75","2014","Logan County","22099","240","238","116","2","21","3,490","18,609","7,960","2.34","9,035","11.9","1,075",
"77","2014","Mesa County","148250","1760","1382","-22","378","818","4,760","143,490","58,372","2.46","64,205","9.08","5,833",
"79","2014","Mineral County","696","5","4","-32","1","11","0","696","347","2.01","1,228","71.74","881",
"81","2014","Moffat County","12866","176","94","-296","82","9","102","12,764","5,093","2.51","6,239","18.37","1,146",
"83","2014","Montezuma County","25806","325","267","88","58","6","237","25,569","10,655","2.4","12,135","12.2","1,480",
"85","2014","Montrose County","40769","481","390","4","91","72","542","40,227","16,281","2.47","18,541","12.19","2,260",
"87","2014","Morgan County","28127","431","237","-286","194","22","564","27,563","10,282","2.68","11,596","11.33","1,314",
"89","2014","Otero County","18398","216","261","-62","-45","6","433","17,965","7,547","2.38","8,980","15.96","1,433",
"91","2014","Ouray County","4582","34","44","48","-10","29","0","4,582","2,089","2.19","3,162","33.93","1,073",
"93","2014","Park County","16356","96","84","156","12","56","92","16,264","7,241","2.25","14,224","49.09","6,983",
"95","2014","Phillips County","4379","65","49","4","16","6","60","4,319","1,795","2.41","2,111","14.97","316",
"97","2014","Pitkin County","17623","132","57","158","75","45","72","17,551","8,385","2.09","13,292","36.92","4,907",
"99","2014","Prowers County","12023","145","103","-290","42","3","315","11,708","4,723","2.48","5,956","20.7","1,233",
"101","2014","Pueblo County","161618","1921","1628","288","293","171","4,422","157,196","63,960","2.46","70,406","9.16","6,446",
"103","2014","Rio Blanco County","6626","70","58","-90","12","9","259","6,367","2,620","2.43","3,351","21.81","731",
"105","2014","Rio Grande County","11542","149","114","-189","35","10","198","11,344","4,600","2.47","6,686","31.2","2,086",
"107","2014","Routt County","24010","208","105","348","103","59","346","23,664","10,100","2.34","16,469","38.67","6,369",
"109","2014","Saguache County","6171","55","46","-59","9","35","18","6,153","2,669","2.31","3,975","32.86","1,306",
"111","2014","San Juan County","719","7","3","15","4","0","0","719","354","2.03","765","53.73","411",
"113","2014","San Miguel County","7751","69","26","79","43","11","9","7,742","3,636","2.13","6,714","45.84","3,078",
"115","2014","Sedgwick County","2331","26","32","-6","-6","3","35","2,296","1,068","2.15","1,419","24.74","351",
"117","2014","Summit County","29213","271","68","350","203","276","273","28,940","12,264","2.36","30,417","59.68","18,153",
"119","2014","Teller County","23402","195","174","110","21","55","132","23,270","9,804","2.37","12,942","24.25","3,138",
"121","2014","Washington County","4772","47","51","11","-4","2","184","4,588","1,962","2.34","2,445","19.75","483",
"123","2014","Weld County","275845","3961","1616","4,605","2,345","1,765","4,761","271,084","97,976","2.77","100,851","2.85","2,875",
"125","2014","Yuma County","10178","142","78","-39","64","5","229","9,949","3,993","2.49","4,487","11.01","494",
"1","2015","Adams County","489923","7361","2957","5,747","4,404","1,251","4,129","485,794","168,657","2.88","168,657","0","0",
"3","2015","Alamosa County","15968","215","128","36","87","56","865","15,103","6,160","2.45","6,781","9.16","621",
"5","2015","Arapahoe County","629066","8130","3744","6,941","4,386","1,458","4,308","624,758","245,869","2.54","245,869","0","0",
"7","2015","Archuleta County","12417","118","104","145","14","75","129","12,288","5,414","2.27","9,090","40.44","3,676",
"9","2015","Baca County","3594","32","56","-6","-24","0","82","3,512","1,598","2.2","2,252","29.04","654",
"11","2015","Bent County","5847","42","55","75","-13","0","1,907","3,940","1,682","2.34","2,249","25.21","567",
"13","2015","Boulder County","318570","2857","1787","3,954","1,070","1,532","11,125","307,445","128,444","2.39","132,483","3.05","4,040",
"14","2015","Broomfield County","64656","671","358","2,789","313","820","282","64,374","24,790","2.6","25,975","4.56","1,185",
"15","2015","Chaffee County","18603","138","203","257","-65","147","1,443","17,160","7,962","2.16","10,442","23.75","2,480",
"17","2015","Cheyenne County","1830","29","19","-27","10","7","42","1,788","782","2.29","992","21.17","210",
"19","2015","Clear Creek County","9392","62","60","154","2","11","97","9,295","4,344","2.14","5,726","24.14","1,382",
"21","2015","Conejos County","8074","116","93","-195","23","13","36","8,038","3,048","2.64","4,365","30.17","1,317",
"23","2015","Costilla County","3572","29","34","17","-5","30","0","3,572","1,572","2.27","2,740","42.63","1,168",
"25","2015","Crowley County","5569","42","34","-53","8","7","2,580","2,989","1,243","2.4","1,575","21.08","332",
"27","2015","Custer County","4457","26","34","97","-8","43","150","4,307","2,019","2.13","4,240","52.38","2,221",
"29","2015","Delta County","29973","271","380","85","-109","47","692","29,281","12,314","2.38","14,683","16.13","2,369",
"31","2015","Denver County","680658","9365","4316","12,395","5,049","5,958","16,517","664,141","299,122","2.22","306,478","2.4","7,356",
"33","2015","Dolores County","1972","19","13","1","6","9","0","1,972","859","2.3","1,476","41.8","617",
"35","2015","Douglas County","322198","3376","1253","5,271","2,123","3,245","871","321,327","114,977","2.79","114,977","0","0",
"37","2015","Eagle County","53320","642","110","27","532","243","70","53,250","19,633","2.71","31,870","38.4","12,237",
"43","2015","Fremont County","46659","381","544","482","-163","55","8,177","38,482","16,738","2.3","19,566","14.45","2,828",
"45","2015","Garfield County","57779","767","340","100","427","83","875","56,904","20,873","2.73","23,641","11.71","2,768",
"47","2015","Gilpin County","5824","39","34","50","5","13","49","5,775","2,635","2.19","3,619","27.19","984",
"39","2015","Elbert County","24640","208","137","476","71","115","73","24,567","8,944","2.75","9,242","3.22","298",
"65","2014","Lake County","7370","80","43","8","37","0","149","7,221","2,969","2.43","4,328","17.3","1,359",
"67","2014","La Plata County","53978","552","300","439","252","275","1,981","51,997","22,107","2.35","26,731","17.3","4,624",
"49","2015","Grand County","14602","113","75","113","38","81","222","14,380","6,360","2.26","16,518","61.5","10,158",
"51","2015","Gunnison County","16097","138","77","271","61","58","989","15,108","6,800","2.22","11,722","41.99","4,922",
"53","2015","Hinsdale County","767","7","6","-8","1","4","56","711","327","2.17","1,415","76.89","1,088",
"55","2015","Huerfano County","6456","55","103","109","-48","14","165","6,291","3,015","2.09","5,198","42","2,183",
"57","2015","Jackson County","1353","12","10","-38","2","0","2","1,351","630","2.14","1,303","51.65","673",
"59","2015","Jefferson County","564619","5838","4398","4,551","1,440","2,535","7,932","556,687","230,469","2.42","237,093","2.79","6,624",
"61","2015","Kiowa County","1396","14","22","10","-8","0","14","1,382","617","2.24","819","24.66","202",
"63","2015","Kit Carson County","8219","116","77","-86","39","2","1,009","7,210","3,046","2.37","3,555","14.32","509",
"69","2015","Larimer County","332830","3448","2246","7,088","1,202","2,581","9,373","323,457","133,417","2.42","142,711","6.51","9,294",
"71","2015","Las Animas County","14061","125","178","31","-53","5","884","13,177","5,744","2.29","8,402","31.64","2,658",
"73","2015","Lincoln County","5549","69","66","47","3","2","1,020","4,529","1,986","2.28","2,444","18.74","458",
"75","2015","Logan County","22122","219","186","42","33","20","3,438","18,684","7,992","2.34","9,048","11.67","1,056",
"77","2015","Mesa County","149023","1826","1492","99","334","629","5,100","143,923","58,602","2.46","65,137","10.03","6,535",
"79","2015","Mineral County","729","6","7","34","-1","6","0","729","364","2","1,231","70.43","867",
"81","2015","Moffat County","12884","193","94","-81","99","9","102","12,782","5,101","2.51","6,248","18.36","1,147",
"83","2015","Montezuma County","26129","329","246","240","83","54","237","25,892","10,790","2.4","12,196","11.53","1,406",
"85","2015","Montrose County","40795","454","457","29","-3","89","542","40,253","16,292","2.47","18,627","12.54","2,335",
"87","2015","Morgan County","28230","454","262","-89","192","32","564","27,666","10,320","2.68","11,644","11.37","1,324",
"89","2015","Otero County","18265","193","241","-85","-48","2","433","17,832","7,492","2.38","8,982","16.59","1,490",
"91","2015","Ouray County","4647","21","29","73","-8","33","0","4,647","2,118","2.19","3,184","33.48","1,066",
"93","2015","Park County","16716","115","90","335","25","88","92","16,624","7,402","2.25","14,311","48.28","6,909",
"95","2015","Phillips County","4307","57","55","-74","2","9","60","4,247","1,764","2.41","2,120","16.79","356",
"97","2015","Pitkin County","17845","127","54","149","73","98","72","17,773","8,500","2.09","13,512","37.09","5,012",
"99","2015","Prowers County","11905","165","127","-156","38","4","315","11,590","4,674","2.48","5,950","21.45","1,276",
"101","2015","Pueblo County","163196","1874","1737","1,456","137","108","4,407","158,789","64,611","2.46","70,509","8.36","5,898",
"103","2015","Rio Blanco County","6529","83","53","-127","30","9","259","6,270","2,580","2.43","3,356","23.12","776",
"105","2015","Rio Grande County","11413","127","130","-126","-3","11","198","11,215","4,548","2.47","6,698","32.1","2,150",
"107","2015","Routt County","24310","214","100","199","114","130","333","23,977","10,234","2.34","16,593","38.32","6,359",
"109","2015","Saguache County","6219","78","60","30","18","32","18","6,201","2,692","2.3","4,007","32.82","1,315",
"111","2015","San Juan County","696","6","6","-23","0","0","0","696","342","2.04","765","55.29","423",
"113","2015","San Miguel County","7843","68","22","46","46","83","9","7,834","3,677","2.13","6,794","45.88","3,117",
"115","2015","Sedgwick County","2389","24","54","88","-30","1","35","2,354","1,095","2.15","1,420","22.89","325",
"117","2015","Summit County","29928","271","68","512","203","211","273","29,655","12,568","2.36","30,589","58.91","18,021",
"119","2015","Teller County","23431","192","181","18","11","157","132","23,299","9,580","2.43","13,004","26.33","3,424",
"121","2015","Washington County","4834","47","50","65","-3","5","184","4,650","1,988","2.34","2,450","18.86","462",
"123","2015","Weld County","284571","4083","1727","6,100","2,356","2,500","5,031","279,540","100,966","2.77","103,219","2.18","2,253",
"125","2015","Yuma County","10052","142","97","-171","45","10","229","9,823","3,942","2.49","4,499","12.38","557",
"3","2016","Alamosa County","16131","200","140","103","60","26","865","15,266","6,228","2.45","6,853","9.12","625",
"7","2016","Archuleta County","12907","117","89","462","28","113","129","12,778","5,629","2.27","9,199","38.81","3,570",
